deg	glk1_signal	glk2_signal	fpkm	distance
AT3G48140	1	52.3906	44.0843	2154.4	94
AT5G58070	1	10.9041	10.4175	435.072	112
AT1G25440	1	9.13781	7.43228	150.916	501
AT3G59400	1	8.58811	6.95557	47.6962	177
AT3G50770	1	45.507	27.7198	3356.75	15
AT2G34420	1	6.14836	4.99798	71.7819	138
AT2G20670	1	79.2808	46.1231	3006.05	3
AT5G39530	1	30.516	16.9015	5382.94	116
AT1G74670	1	12.7314	15.0163	698.865	12
AT4G09010	1	13.17	7.15412	336.558	153
AT3G16140	1	121.676	65.7007	165.344	86
AT3G50820	1	16.5976	13.0622	163.376	616
AT1G76160	1	22.6122	26.3071	6646.78	137
AT2G24790	1	24.8505	24.9542	5925.25	122
AT2G41870	1	195.82	91.0909	29821.2	179
AT5G44130	1	59.5749	34.4451	2577.14	64
AT5G15970	1	56.11	36.8245	4413.76	80
AT3G08920	1	8.06761	5.12516	134.449	104
AT4G21570	1	25.0582	27.4248	2926.34	48
AT4G09650	1	94.0029	45.4524	5053.81	82
AT2G35880	1	73.2401	43.7353	235.613	106
AT1G76100	1	49.1752	39.1524	1768.39	23
AT1G74470	1	18.4347	16.026	2050.97	28
AT1G78850	1	7.55446	7.51391	28.3541	151
AT1G52230	1	89.6419	43.5971	77.6661	220
AT1G21500	1	13.5897	22.7678	855.172	85
AT5G59080	1	8.54409	17.7425	408.983	878
AT3G16000	1	25.3141	22.8407	220.689	86
AT3G49140	1	6.08496	4.96079	71.4138	124
AT1G03930	1	8.44106	6.91844	123.531	614
AT2G40880	1	40.7743	29.9802	9586.26	67
AT2G42530	1	86.7137	55.3694	2805.9	127
AT3G28220	1	118.372	59.4631	2229.15	92
AT2G24150	1	18.1396	15.6252	1949.1	35
AT5G01530	1	75.9008	51.8867	228.678	608
AT5G08050	1	12.4105	13.4425	59.3254	79
AT4G13495	0	74.6291	61.5518	1148.69	18
AT4G21180	1	44.4915	11.7991	46.3471	119
AT1G03600	1	56.1249	30.3985	136.77	106
AT1G68190	1	39.5467	35.393	2993.54	62
AT1G29670	1	13.468	15.3543	149.405	219
AT5G66580	1	5.91531	6.35014	29.6324	584
AT3G25717	1	64.9166	41.5418	10257.8	1025
AT5G23060	1	64.9166	41.5418	5284.88	163
AT3G47470	1	25.4804	27.6984	65.1728	115
AT5G64620	1	36.0561	37.7982	237.877	107
AT5G65390	1	10.3961	9.20754	42.8323	570
AT1G31330	1	22.9491	9.1587	200.073	64
AT5G24930	1	6.89461	5.35872	40.239	180
AT1G67740	1	34.3898	30.3361	585.951	56
AT3G50685	1	6.56744	6.19919	268.108	104
AT3G61470	1	18.9187	15.338	1798.75	12
AT2G33180	1	24.6447	26.6941	254.861	118
AT3G27690	1	18.9073	8.32992	71.7462	26
AT1G03870	1	22.9601	16.1874	74.9546	118
AT1G68520	1	62.1029	33.5219	1926.77	38
AT2G34430	1	9.36247	8.68334	662.406	711
AT4G27440	1	7.72407	7.23395	236.087	74
AT3G29320	1	30.6404	28.7612	4725.13	15
AT3G21055	1	6.34671	5.75239	78.3121	175
AT2G47450	1	46.9126	20.0641	1627.79	135
AT4G05180	1	9.04641	6.63023	144.638	122
