GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0015979	P	photosynthesis	67	945	253	28362	6.3e-35	2.7e-31	// AT1G29930 // AT4G05180 // AT2G30570 // AT4G02770 // AT3G56940 // AT1G31330 // AT4G04640 // AT1G29910 // AT1G06680 // AT2G18790 // AT5G01530 // AT1G68890 // AT4G12800 // AT3G50820 // AT1G52230 // AT1G03630 // AT4G28750 // AT2G05100 // AT2G34420 // AT3G54890 // AT2G06520 // AT1G08380 // AT5G66570 // AT5G24120 // AT3G15850 // AT1G79040 // AT5G38420 // AT1G12900 // AT4G01050 // AT5G54190 // AT2G47940 // AT1G30380 // AT1G55670 // AT4G09650 // AT4G21280 // AT5G13630 // AT1G29920 // AT5G50950 // AT2G47400 // AT3G27690 // AT1G67740 // AT1G15820 // AT3G11670 // AT3G47470 // AT4G23890 // AT1G32060 // AT2G34430 // AT1G03600 // AT3G21055 // AT2G05070 // AT5G38410 // AT2G20260 // AT3G08940 // AT5G64040 // AT1G03130 // AT1G64860 // AT3G61470 // AT4G27440 // AT1G61520 // AT1G68830 // AT4G03280 // AT1G74470 // AT2G46820 // AT3G16140 // AT4G10340 // AT1G60950 // AT5G54270 
GO:0019684	P	photosynthesis, light reaction	41	945	134	28362	8.3e-24	1.8e-20	// AT1G29930 // AT2G30570 // AT3G15850 // AT5G64040 // AT4G04640 // AT1G06680 // AT3G61470 // AT5G01530 // AT1G68890 // AT4G12800 // AT2G05100 // AT2G34420 // AT1G08380 // AT5G66570 // AT5G24120 // AT1G29910 // AT1G79040 // AT4G03280 // AT4G01050 // AT2G47940 // AT1G55670 // AT4G09650 // AT1G29920 // AT3G27690 // AT1G67740 // AT1G15820 // AT3G11670 // AT3G47470 // AT4G23890 // AT3G08940 // AT2G34430 // AT1G03600 // AT2G05070 // AT3G54890 // AT3G50820 // AT1G61520 // AT1G68830 // AT2G46820 // AT4G10340 // AT1G60950 // AT5G54270 
GO:0009628	P	response to abiotic stimulus	157	945	2022	28362	6.8e-22	9.9e-19	// AT1G58290 // AT1G29930 // AT3G61580 // AT2G47450 // AT3G17040 // AT2G46590 // AT5G61270 // AT3G22420 // AT2G18790 // AT5G08050 // AT2G43010 // AT5G24120 // AT2G42530 // AT1G12610 // AT5G43060 // AT4G26000 // AT4G25050 // AT3G48090 // AT2G20990 // AT5G58070 // AT1G58200 // AT1G09350 // AT1G29920 // AT4G27710 // AT4G04340 // AT5G64620 // AT4G25470 // AT1G21910 // AT1G77490 // AT5G14920 // AT2G40880 // AT3G15540 // AT1G50010 // AT5G08520 // AT3G50260 // AT5G46110 // AT1G56510 // AT2G05520 // AT5G24930 // AT1G29910 // AT1G20340 // AT5G09410 // AT1G79810 // AT5G18170 // AT2G15970 // AT1G67900 // AT5G64610 // AT3G59060 // AT1G33240 // AT4G08920 // AT1G23310 // AT1G31930 // AT4G03280 // AT4G19020 // AT1G56340 // AT1G65930 // AT1G06040 // AT5G54190 // AT1G22770 // AT3G07650 // AT3G63060 // AT1G59960 // AT1G67740 // AT5G15850 // AT1G32060 // AT1G04400 // AT5G47390 // AT3G47470 // AT2G30520 // AT3G08940 // AT2G34430 // AT1G03600 // AT2G05070 // AT2G33700 // AT2G24790 // AT1G73870 // AT1G51400 // AT5G58140 // AT4G10340 // AT3G02380 // AT5G56860 // AT4G38620 // AT2G21650 // AT1G52830 // AT1G10470 // AT5G15840 // AT5G38420 // AT1G05680 // AT3G17390 // AT2G05100 // AT2G34420 // AT4G23450 // AT3G15570 // AT4G28610 // AT2G46790 // AT1G76080 // AT3G48100 // AT3G25770 // AT4G09650 // AT3G28910 // AT5G06980 // AT3G27690 // AT1G15820 // AT5G15650 // AT1G13080 // AT3G50820 // AT3G08920 // AT5G15970 // AT2G35930 // AT1G25250 // AT5G54590 // AT3G29320 // AT1G68830 // AT3G23250 // AT1G67080 // AT4G23650 // AT1G60950 // AT3G15850 // AT4G04330 // AT4G30960 // AT4G03400 // AT3G61470 // AT5G01530 // AT5G67450 // AT3G50930 // AT4G38840 // AT5G61590 // AT5G66570 // AT3G49970 // AT1G74670 // AT3G60290 // AT2G37180 // AT5G24770 // AT3G06510 // AT4G20260 // AT3G02870 // AT5G54470 // AT3G54890 // AT3G45140 // AT2G42870 // AT4G17090 // AT5G05860 // AT5G23060 // AT5G50950 // AT5G52050 // AT2G37170 // AT2G29120 // AT5G64930 // AT1G13740 // AT5G38410 // AT1G18570 // AT1G64860 // AT1G61520 // AT5G03720 // AT1G69530 // AT5G54270 // AT4G25490 
GO:0009416	P	response to light stimulus	84	945	744	28362	1.4e-20	1.6e-17	// AT1G58290 // AT1G29930 // AT4G38620 // AT2G21650 // AT3G22420 // AT1G52830 // AT5G56860 // AT1G10470 // AT2G47450 // AT3G17040 // AT2G46590 // AT1G29910 // AT5G61270 // AT5G15840 // AT4G26000 // AT4G03400 // AT1G61520 // AT2G18790 // AT5G01530 // AT3G50930 // AT1G79810 // AT5G08050 // AT5G18170 // AT2G43010 // AT2G34420 // AT5G64610 // AT3G59060 // AT3G15570 // AT5G24120 // AT4G08920 // AT4G28610 // AT3G15850 // AT2G46790 // AT4G03280 // AT4G25050 // AT3G54890 // AT1G06040 // AT3G48100 // AT5G58070 // AT1G67900 // AT1G22770 // AT5G54190 // AT1G03600 // AT3G07650 // AT1G20340 // AT1G29920 // AT5G23060 // AT3G27690 // AT1G67740 // AT2G05070 // AT1G15820 // AT5G15850 // AT1G69530 // AT1G04400 // AT2G42870 // AT5G47390 // AT3G47470 // AT2G30520 // AT5G66570 // AT3G08940 // AT3G50820 // AT2G34430 // AT3G61470 // AT3G49970 // AT2G05100 // AT2G29120 // AT5G64930 // AT5G38410 // AT2G24790 // AT1G73870 // AT1G64860 // AT3G15540 // AT5G24930 // AT1G51400 // AT1G68830 // AT5G58140 // AT5G38420 // AT1G67080 // AT5G46110 // AT1G56510 // AT4G10340 // AT1G60950 // AT5G54270 // AT3G02380 
GO:0009314	P	response to radiation	84	945	772	28362	1.2e-19	1e-16	// AT1G58290 // AT1G29930 // AT4G38620 // AT2G21650 // AT3G22420 // AT1G52830 // AT5G56860 // AT1G10470 // AT2G47450 // AT3G17040 // AT2G46590 // AT1G29910 // AT5G61270 // AT5G15840 // AT4G26000 // AT4G03400 // AT1G61520 // AT2G18790 // AT5G01530 // AT3G50930 // AT1G79810 // AT5G08050 // AT5G18170 // AT2G43010 // AT2G34420 // AT5G64610 // AT3G59060 // AT3G15570 // AT5G24120 // AT4G08920 // AT4G28610 // AT3G15850 // AT2G46790 // AT4G03280 // AT4G25050 // AT3G54890 // AT1G06040 // AT3G48100 // AT5G58070 // AT1G67900 // AT1G22770 // AT5G54190 // AT1G03600 // AT3G07650 // AT1G20340 // AT1G29920 // AT5G23060 // AT3G27690 // AT1G67740 // AT2G05070 // AT1G15820 // AT5G15850 // AT1G69530 // AT1G04400 // AT2G42870 // AT5G47390 // AT3G47470 // AT2G30520 // AT5G66570 // AT3G08940 // AT3G50820 // AT2G34430 // AT3G61470 // AT3G49970 // AT2G05100 // AT2G29120 // AT5G64930 // AT5G38410 // AT2G24790 // AT1G73870 // AT1G64860 // AT3G15540 // AT5G24930 // AT1G51400 // AT1G68830 // AT5G58140 // AT5G38420 // AT1G67080 // AT5G46110 // AT1G56510 // AT4G10340 // AT1G60950 // AT5G54270 // AT3G02380 
GO:0050896	P	response to stimulus	325	945	6250	28362	9.9e-18	7.2e-15	// AT1G58290 // AT1G29930 // AT3G61580 // AT1G21250 // AT3G04210 // AT4G30960 // AT2G47450 // AT3G17040 // AT2G46590 // AT3G57270 // AT3G13650 // AT4G38860 // AT1G02670 // AT2G18790 // AT1G21590 // AT5G08050 // AT2G32680 // AT4G28250 // AT3G43120 // AT2G43010 // AT4G22620 // AT1G79460 // AT1G66160 // AT5G24120 // AT2G41070 // AT5G64940 // AT1G12610 // AT5G43060 // AT4G26000 // AT4G25470 // AT3G59400 // AT4G23300 // AT2G20990 // AT5G58070 // AT1G58200 // AT4G34760 // AT1G02860 // AT3G20550 // AT5G52900 // AT1G09350 // AT4G00720 // AT1G72450 // AT2G23300 // AT4G27710 // AT2G46450 // AT5G01810 // AT4G04340 // AT2G14210 // AT5G47070 // AT2G25440 // AT3G28910 // AT3G25180 // AT5G54380 // AT3G55450 // AT5G64620 // AT2G22080 // AT1G51090 // AT1G21910 // AT1G27330 // AT1G29920 // AT1G12420 // AT3G11670 // AT1G05680 // AT5G14920 // AT2G40880 // AT5G25190 // AT3G15540 // AT1G50010 // AT5G08520 // AT3G11900 // AT2G43710 // AT3G50260 // AT5G63410 // AT5G19390 // AT5G46110 // AT1G56510 // AT2G05520 // AT2G32800 // AT3G24770 // AT1G03930 // AT5G38850 // AT3G22420 // AT1G77490 // AT5G61380 // AT1G04240 // AT1G29910 // AT1G32060 // AT1G20340 // AT1G06680 // AT1G29440 // AT5G51845 // AT2G32460 // AT3G12700 // AT1G79810 // AT5G18170 // AT3G54840 // AT4G21940 // AT1G67900 // AT5G64610 // AT5G64840 // AT1G33240 // AT1G68670 // AT4G08920 // AT1G23310 // AT1G31930 // AT1G15010 // AT4G03280 // AT4G19020 // AT1G56340 // AT1G65930 // AT1G06040 // AT5G54190 // AT1G22770 // AT3G48090 // AT4G18890 // AT1G59740 // AT3G07650 // AT5G24930 // AT2G21650 // AT1G33610 // AT3G63060 // AT3G15850 // AT1G70790 // AT1G59960 // AT5G48485 // AT1G67080 // AT1G67740 // AT5G15850 // AT4G04330 // AT1G71090 // AT1G04400 // AT5G61270 // AT4G18700 // AT2G25110 // AT5G47390 // AT3G47470 // AT2G30520 // AT4G32800 // AT3G11280 // AT3G46090 // AT2G32020 // AT2G34430 // AT3G28200 // AT1G03600 // AT2G05070 // AT2G33700 // AT4G10115 // AT1G08390 // AT2G24790 // AT1G68360 // AT5G63160 // AT1G73870 // AT2G24150 // AT1G68765 // AT3G61060 // AT3G28040 // AT1G51400 // AT5G58140 // AT4G09010 // AT3G51550 // AT1G79040 // AT4G10340 // AT1G23490 // AT2G19780 // AT3G02380 // AT5G56860 // AT4G38620 // AT1G19610 // AT1G27450 // AT1G52830 // AT5G04230 // AT1G10470 // AT4G28610 // AT2G40670 // AT5G15840 // AT1G15180 // AT2G21210 // AT1G31540 // AT3G17390 // AT5G23060 // AT1G52230 // AT4G28750 // AT2G05100 // AT2G34420 // AT1G16130 // AT4G23450 // AT5G12860 // AT3G08940 // AT3G15570 // AT5G12330 // AT2G01530 // AT5G07920 // AT1G72460 // AT4G23290 // AT2G46790 // AT4G12000 // AT1G76080 // AT1G80130 // AT4G01050 // AT4G23220 // AT3G48100 // AT3G25770 // AT5G03350 // AT5G10760 // AT4G09650 // AT5G28770 // AT5G45820 // AT2G20580 // AT2G20260 // AT3G18485 // AT5G06980 // AT1G10360 // AT1G60800 // AT2G29120 // AT5G24770 // AT1G18570 // AT1G15820 // AT3G29575 // AT5G15650 // AT1G13080 // AT3G15356 // AT4G38850 // AT1G52290 // AT2G27500 // AT5G47650 // AT5G09410 // AT4G31550 // AT5G07580 // AT3G50820 // AT4G03390 // AT3G08920 // AT5G15970 // AT2G35930 // AT1G25250 // AT1G35580 // AT5G54590 // AT3G29320 // AT1G68830 // AT3G23250 // AT5G38420 // AT2G46820 // AT1G63350 // AT4G25050 // AT1G78830 // AT1G79340 // AT1G60950 // AT5G19380 // AT5G08055 // AT4G19530 // AT4G27950 // AT3G20820 // AT4G28080 // AT2G38290 // AT4G23650 // AT3G55560 // AT5G46490 // AT2G37710 // AT4G03400 // AT3G61470 // AT5G01530 // AT5G67450 // AT3G57040 // AT3G50930 // AT4G38840 // AT5G15410 // AT5G61590 // AT5G66570 // AT2G47400 // AT5G16590 // AT1G74670 // AT3G60290 // AT2G06050 // AT5G05440 // AT5G41740 // AT1G21270 // AT2G15970 // AT2G37180 // AT3G27690 // AT1G33760 // AT3G61120 // AT5G50950 // AT3G06510 // AT4G20260 // AT3G02870 // AT5G54470 // AT5G39580 // AT3G14930 // AT3G54890 // AT3G59060 // AT4G20970 // AT3G45140 // AT2G42870 // AT4G17090 // AT5G05860 // AT5G58610 // AT1G69530 // AT5G24520 // AT3G24550 // AT5G52050 // AT2G37170 // AT3G49970 // AT2G39920 // AT1G63860 // AT5G64930 // AT1G13740 // AT5G38410 // AT2G34600 // AT3G45860 // AT2G41940 // AT5G42100 // AT1G64860 // AT4G27440 // AT4G08950 // AT2G42530 // AT4G16890 // AT1G61520 // AT5G03680 // AT4G15230 // AT1G33607 // AT5G03720 // AT5G59080 // AT3G59410 // AT1G16150 // AT5G54270 // AT4G25490 
GO:0009768	P	photosynthesis, light harvesting in photosystem I	18	945	23	28362	1.2e-16	7.5e-14	// AT1G29930 // AT1G29920 // AT1G08380 // AT3G08940 // AT2G05070 // AT3G27690 // AT1G29910 // AT1G15820 // AT3G61470 // AT2G05100 // AT3G54890 // AT1G61520 // AT5G01530 // AT2G34420 // AT3G47470 // AT4G10340 // AT2G34430 // AT5G54270 
GO:0018298	P	protein-chromophore linkage	21	945	46	28362	1.2e-15	6.6e-13	// AT3G61470 // AT1G29930 // AT1G29920 // AT3G08940 // AT4G08920 // AT2G05070 // AT3G27690 // AT1G29910 // AT1G15820 // AT1G61520 // AT2G05100 // AT1G04400 // AT3G54890 // AT2G18790 // AT5G01530 // AT5G58140 // AT2G34420 // AT3G47470 // AT4G10340 // AT2G34430 // AT5G54270 
GO:0009765	P	photosynthesis, light harvesting	20	945	44	28362	6.2e-15	3e-12	// AT1G29930 // AT1G29920 // AT1G08380 // AT3G08940 // AT2G05070 // AT3G27690 // AT1G29910 // AT1G15820 // AT3G61470 // AT2G05100 // AT3G54890 // AT1G61520 // AT5G01530 // AT2G34420 // AT3G47470 // AT2G47940 // AT4G10340 // AT2G34430 // AT5G54270 // AT1G03600 
GO:0006091	P	generation of precursor metabolites and energy	47	945	364	28362	6.6e-14	2.9e-11	// AT1G29930 // AT2G30570 // AT3G15850 // AT5G64040 // AT4G04640 // AT1G06680 // AT3G61470 // AT5G01530 // AT1G68890 // AT4G12800 // AT2G05100 // AT2G34420 // AT4G03280 // AT1G08380 // AT5G66570 // AT5G24120 // AT4G01050 // AT1G29910 // AT1G79040 // AT1G61520 // AT1G12900 // AT2G39930 // AT1G65930 // AT2G47940 // AT3G15840 // AT1G55670 // AT4G09650 // AT1G29920 // AT5G50950 // AT3G27690 // AT1G67740 // AT1G15820 // AT3G11670 // AT3G47470 // AT4G23890 // AT3G08940 // AT2G34430 // AT1G03600 // AT2G05070 // AT3G54890 // AT3G50820 // AT3G29320 // AT1G68830 // AT2G46820 // AT4G10340 // AT1G60950 // AT5G54270 
