TermID	Name	Value	UserValue_0	UserValue_1	UserValue_2	UserValue_3	UserValue_4	UserValue_5	UserValue_6	UserValue_7	UserValue_8	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	PC3_0	PC3_1	PC3_2	Representative	Eliminated
"GO:0023052"	"signaling"	NaN	NaN	NaN	NaN	26	628	68	5668	8.7E-07	0.0001	6.3640212646283	8.00630080880648	1	0	6.36143070429552	-1.92761347991716	-1.00042898477229	-2.23526091255972	-5.25218322222891	null	False
"GO:0051338"	"regulation of transferase activity"	NaN	NaN	NaN	NaN	NaN	NaN	5	628	10	5668	4.9106244048892	0.281857694949841	0.746235897031687	0	5.71985180721353	3.0340385487774	-5.66513183975033	1.13705444727888	0.00460652036745127	null	False
"GO:0065003"	"protein-containing complex assembly"	NaN	NaN	NaN	NaN	NaN	7	628	20	5668	0.014	5.62058781945637	1.4454318010786	0.987977863191219	0	-1.25123734539254	-4.93780402026622	-1.43200763646999	-4.92721254380332	-0.699882613400822	null	False
"GO:0065007"	"biological regulation"	NaN	NaN	NaN	NaN	75	628	478	5668	0.0028	0.11	6.84974535017356	24.4994376108119	1	0	1.81512222936819	-4.84985707962775	-2.67778396934009	-3.73980736434084	4.20071005488479	null	False
"GO:0006091"	"generation of precursor metabolites and energy"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53	628	5.96241621989356	3.17560569937111	0.926266049424697	0.01478148	-7.07522456872765	1.23779043032405	3.72323332935617	-3.47773995434848	-0.861400182882092	null	False
"GO:0051716"	"cellular response to stimulus"	NaN	NaN	NaN	NaN	NaN	NaN	7	628	23	5668	6.52679194849776	11.6466934794884	0.983699850658145	0.02028939	4.3197573879167	-3.54393165504965	0.878478542503964	4.55477376674467	-6.37734406556103	null	False
"GO:0006629"	"lipid metabolic process"	NaN	NaN	NaN	NaN	NaN	34	628	141	5668	9.4E-05	6.11368637440351	4.49880186500672	0.92607046830099	0.06039049	-3.94498719783365	-3.17511445863605	-0.281005872440297	-0.0088623304334468	7.21804930677368	null	False
"GO:0033013"	"tetrapyrrole metabolic process"	NaN	NaN	NaN	NaN	NaN	12	628	16	5668	5.9E-06	5.37781784873621	0.826469546685193	0.863960119500691	0.08407764	-2.72812999785543	7.67532535778318	4.97160543815007	4.56982250285395	-0.202091133865773	null	False
"GO:0032787"	"monocarboxylic acid metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	14	628	53	5668	5.89371627800635	2.71098147344617	0.88309443498231	0.09822934	0.933141790773624	-1.68906921627633	3.34353738218503	-0.127283266412743	-5.11251810291817	null	False
"GO:0044237"	"cellular metabolic process"	NaN	NaN	NaN	NaN	NaN	256	628	2068	5668	0.02	7.15953113085803	49.9967675996236	0.926240559263835	0.10425948	-5.86876235251407	-1.10093966648048	2.90442814422941	-2.93557158313565	4.14803146224401	null	False
"GO:0044255"	"cellular lipid metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	17	628	75	5668	5.99028201089008	3.38604240860816	0.796862764159739	0.11294157	-2.55152622914157	-0.736909880622797	-0.943849537544191	4.21225023297602	7.33656184027787	null	False
"GO:0006633"	"fatty acid biosynthetic process"	NaN	NaN	NaN	NaN	NaN	NaN	8	628	17	5668	5.33585490304583	0.750349720789515	0.748230881150187	0.71560107	null	null	null	null	null	44255	True
"GO:0006631"	"fatty acid metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	8	628	26	5668	5.51166148005063	1.12478876428017	0.789313551581643	0.75239521	null	null	null	null	null	44255	True
"GO:0006644"	"phospholipid metabolic process"	NaN	NaN	NaN	NaN	NaN	5	628	14	5668	0.035	5.61455660405819	1.42549722264611	0.80761022887701	0.77573961	null	null	null	null	null	44255	True
"GO:0008610"	"lipid biosynthetic process"	NaN	NaN	NaN	NaN	NaN	15	628	65	5668	0.012	5.89654826233522	2.72871725783582	0.751569089134205	0.84783168	null	null	null	null	null	44255	True
"GO:0051174"	"regulation of phosphorus metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	628	10	5.10530917061462	0.441282382392999	0.667451282735697	0.18803944	4.80495414065563	6.44923013905133	-4.57035715559641	4.79614879790249	-1.60341482495641	null	False
"GO:0006779"	"porphyrin-containing compound biosynthetic process"	NaN	NaN	NaN	NaN	NaN	6	628	6	5668	0.00052	5.15752929560298	0.497665001919876	0.763283191581845	0.23626052	-3.86703707384682	7.10793424319874	3.96173311283796	6.11770276583735	1.36244844817861	null	False
"GO:0006778"	"porphyrin-containing compound metabolic process"	NaN	NaN	NaN	NaN	NaN	6	628	6	5668	0.00052	5.17944550239367	0.523423787565054	0.808450257931018	0.90116287	null	null	null	null	null	6779	True
