GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0006091	P	generation of precursor metabolites and energy	53	628	141	5668	2.6e-12	2.1e-09	// Niben101Scf02128g00025.1 // Niben101Scf03455g01031.1 // Niben101Scf02029g00004.1 // Niben101Scf15372g00003.1 // Niben101Scf02608g03021.1 // Niben101Scf02289g04006.1 // Niben101Scf00063g10004.1 // Niben101Scf01987g00015.1 // Niben101Scf00245g03004.1 // Niben101Scf01276g00005.1 // Niben101Scf02459g00024.1 // Niben101Scf05555g00008.1 // Niben101Scf12382g00008.1 // Niben101Scf02262g01007.1 // Niben101Scf08975g01010.1 // Niben101Scf07510g00016.1 // Niben101Scf06799g02002.1 // Niben101Scf05349g01011.1 // Niben101Scf05063g04006.1 // Niben101Scf02852g02007.1 // Niben101Scf05943g00002.1 // Niben101Scf01328g01012.1 // Niben101Scf01020g01002.1 // Niben101Scf11384g00027.1 // Niben101Scf01785g10010.1 // Niben101Scf02513g08003.1 // Niben101Scf13600g01004.1 // Niben101Scf00063g10008.1 // Niben101Scf05688g08010.1 // Niben101Scf00607g03013.1 // Niben101Scf04318g01016.1 // Niben101Scf14282g00009.1 // Niben101Scf02351g07005.1 // Niben101Scf05950g00001.1 // Niben101Scf06465g04003.1 // Niben101Scf01517g08001.1 // Niben101Scf02971g05016.1 // Niben101Scf00163g23018.1 // Niben101Scf01548g00002.1 // Niben101Scf01105g00001.1 // Niben101Scf04504g03008.1 // Niben101Ctg06879g00004.1 // Niben101Scf12382g00021.1 // Niben101Scf01399g00012.1 // Niben101Scf01020g00009.1 // Niben101Scf18643g00022.1 // Niben101Ctg16374g00003.1 // Niben101Scf08088g04018.1 // Niben101Scf34696g00003.1 // Niben101Scf11767g01011.1 // Niben101Scf05621g09002.1 // Niben101Scf02513g08007.1 // Niben101Scf01160g01005.1 
GO:0006355	P	regulation of transcription, DNA-dependent	48	628	150	5668	2.6e-09	6.9e-07	// Niben101Scf01639g04001.1 // Niben101Scf04664g02003.1 // Niben101Scf01357g00014.1 // Niben101Scf01830g01027.1 // Niben101Scf03923g03003.1 // Niben101Scf03298g04008.1 // Niben101Scf01173g00005.1 // Niben101Scf02511g05005.1 // Niben101Scf06378g04004.1 // Niben101Scf01177g01001.1 // Niben101Scf09703g03004.1 // Niben101Scf01477g01009.1 // Niben101Scf01721g08007.1 // Niben101Scf08811g00007.1 // Niben101Scf08341g10005.1 // Niben101Scf03070g06001.1 // Niben101Scf01961g02007.1 // Niben101Scf03115g03025.1 // Niben101Scf04099g08003.1 // Niben101Scf03150g06002.1 // Niben101Scf05883g00008.1 // Niben101Scf03662g00006.1 // Niben101Scf00577g11004.1 // Niben101Scf03576g01034.1 // Niben101Scf04990g00010.1 // Niben101Scf13758g00012.1 // Niben101Scf01775g01019.1 // Niben101Scf14115g01004.1 // Niben101Scf12159g09021.1 // Niben101Scf12245g00002.1 // Niben101Scf05411g02017.1 // Niben101Scf04313g01012.1 // Niben101Scf06249g04003.1 // Niben101Scf02207g11011.1 // Niben101Scf05584g02016.1 // Niben101Scf00872g03005.1 // Niben101Scf08149g01007.1 // Niben101Scf16007g00011.1 // Niben101Scf02044g08008.1 // Niben101Scf12983g01008.1 // Niben101Scf08544g01023.1 // Niben101Scf07817g01007.1 // Niben101Scf02264g01003.1 // Niben101Scf01326g00005.1 // Niben101Scf08060g00005.1 // Niben101Scf06117g01012.1 // Niben101Scf00090g02002.1 // Niben101Scf00530g06012.1 
GO:0051252	P	regulation of RNA metabolic process	48	628	150	5668	2.6e-09	6.9e-07	// Niben101Scf01639g04001.1 // Niben101Scf04664g02003.1 // Niben101Scf01357g00014.1 // Niben101Scf01830g01027.1 // Niben101Scf03923g03003.1 // Niben101Scf03298g04008.1 // Niben101Scf01173g00005.1 // Niben101Scf02511g05005.1 // Niben101Scf06378g04004.1 // Niben101Scf01177g01001.1 // Niben101Scf09703g03004.1 // Niben101Scf01477g01009.1 // Niben101Scf01721g08007.1 // Niben101Scf08811g00007.1 // Niben101Scf08341g10005.1 // Niben101Scf03070g06001.1 // Niben101Scf01961g02007.1 // Niben101Scf03115g03025.1 // Niben101Scf04099g08003.1 // Niben101Scf03150g06002.1 // Niben101Scf05883g00008.1 // Niben101Scf03662g00006.1 // Niben101Scf00577g11004.1 // Niben101Scf03576g01034.1 // Niben101Scf04990g00010.1 // Niben101Scf13758g00012.1 // Niben101Scf01775g01019.1 // Niben101Scf14115g01004.1 // Niben101Scf12159g09021.1 // Niben101Scf12245g00002.1 // Niben101Scf05411g02017.1 // Niben101Scf04313g01012.1 // Niben101Scf06249g04003.1 // Niben101Scf02207g11011.1 // Niben101Scf05584g02016.1 // Niben101Scf00872g03005.1 // Niben101Scf08149g01007.1 // Niben101Scf16007g00011.1 // Niben101Scf02044g08008.1 // Niben101Scf12983g01008.1 // Niben101Scf08544g01023.1 // Niben101Scf07817g01007.1 // Niben101Scf02264g01003.1 // Niben101Scf01326g00005.1 // Niben101Scf08060g00005.1 // Niben101Scf06117g01012.1 // Niben101Scf00090g02002.1 // Niben101Scf00530g06012.1 
GO:0006351	P	transcription, DNA-dependent	49	628	167	5668	1.8e-08	3.7e-06	// Niben101Scf01639g04001.1 // Niben101Scf04664g02003.1 // Niben101Scf01357g00014.1 // Niben101Scf01830g01027.1 // Niben101Scf03923g03003.1 // Niben101Scf03298g04008.1 // Niben101Scf01173g00005.1 // Niben101Scf02511g05005.1 // Niben101Scf06378g04004.1 // Niben101Scf01177g01001.1 // Niben101Scf09703g03004.1 // Niben101Scf01477g01009.1 // Niben101Scf01721g08007.1 // Niben101Scf08811g00007.1 // Niben101Scf08341g10005.1 // Niben101Scf03070g06001.1 // Niben101Scf01961g02007.1 // Niben101Scf03115g03025.1 // Niben101Scf04099g08003.1 // Niben101Scf03150g06002.1 // Niben101Scf05883g00008.1 // Niben101Scf03662g00006.1 // Niben101Scf00577g11004.1 // Niben101Scf03576g01034.1 // Niben101Scf04990g00010.1 // Niben101Scf13758g00012.1 // Niben101Scf01775g01019.1 // Niben101Scf14115g01004.1 // Niben101Scf12159g09021.1 // Niben101Scf12245g00002.1 // Niben101Scf05411g02017.1 // Niben101Scf04313g01012.1 // Niben101Scf06249g04003.1 // Niben101Scf02207g11011.1 // Niben101Scf05584g02016.1 // Niben101Scf00872g03005.1 // Niben101Scf08149g01007.1 // Niben101Scf16007g00011.1 // Niben101Scf02044g08008.1 // Niben101Scf12983g01008.1 // Niben101Scf08544g01023.1 // Niben101Scf07817g01007.1 // Niben101Scf02264g01003.1 // Niben101Scf01326g00005.1 // Niben101Scf08060g00005.1 // Niben101Scf06117g01012.1 // Niben101Scf00090g02002.1 // Niben101Scf00170g05001.1 // Niben101Scf00530g06012.1 
GO:0032774	P	RNA biosynthetic process	49	628	169	5668	2.5e-08	4.1e-06	// Niben101Scf01639g04001.1 // Niben101Scf04664g02003.1 // Niben101Scf01357g00014.1 // Niben101Scf01830g01027.1 // Niben101Scf03923g03003.1 // Niben101Scf03298g04008.1 // Niben101Scf01173g00005.1 // Niben101Scf02511g05005.1 // Niben101Scf06378g04004.1 // Niben101Scf01177g01001.1 // Niben101Scf09703g03004.1 // Niben101Scf01477g01009.1 // Niben101Scf01721g08007.1 // Niben101Scf08811g00007.1 // Niben101Scf08341g10005.1 // Niben101Scf03070g06001.1 // Niben101Scf01961g02007.1 // Niben101Scf03115g03025.1 // Niben101Scf04099g08003.1 // Niben101Scf03150g06002.1 // Niben101Scf05883g00008.1 // Niben101Scf03662g00006.1 // Niben101Scf00577g11004.1 // Niben101Scf03576g01034.1 // Niben101Scf04990g00010.1 // Niben101Scf13758g00012.1 // Niben101Scf01775g01019.1 // Niben101Scf14115g01004.1 // Niben101Scf12159g09021.1 // Niben101Scf12245g00002.1 // Niben101Scf05411g02017.1 // Niben101Scf04313g01012.1 // Niben101Scf06249g04003.1 // Niben101Scf02207g11011.1 // Niben101Scf05584g02016.1 // Niben101Scf00872g03005.1 // Niben101Scf08149g01007.1 // Niben101Scf16007g00011.1 // Niben101Scf02044g08008.1 // Niben101Scf12983g01008.1 // Niben101Scf08544g01023.1 // Niben101Scf07817g01007.1 // Niben101Scf02264g01003.1 // Niben101Scf01326g00005.1 // Niben101Scf08060g00005.1 // Niben101Scf06117g01012.1 // Niben101Scf00090g02002.1 // Niben101Scf00170g05001.1 // Niben101Scf00530g06012.1 
GO:0023046	P	signaling process	26	628	68	5668	8.7e-07	0.0001	// Niben101Scf11693g00001.1 // Niben101Scf05201g09003.1 // Niben101Scf13962g01007.1 // Niben101Scf01577g01019.1 // Niben101Scf03747g04002.1 // Niben101Scf11469g00017.1 // Niben101Scf01994g01007.1 // Niben101Scf00425g00005.1 // Niben101Scf09203g01012.1 // Niben101Scf02249g03015.1 // Niben101Scf09424g06008.1 // Niben101Scf07078g00002.1 // Niben101Scf11767g02019.1 // Niben101Scf01109g04021.1 // Niben101Scf01274g04012.1 // Niben101Scf04654g03010.1 // Niben101Scf00209g00010.1 // Niben101Scf01785g04007.1 // Niben101Scf06653g02032.1 // Niben101Scf01775g01019.1 // Niben101Scf00825g00017.1 // Niben101Scf05009g02009.1 // Niben101Scf05009g04012.1 // Niben101Scf00063g06009.1 // Niben101Scf01243g02006.1 // Niben101Scf07437g05009.1 
GO:0023060	P	signal transmission	26	628	68	5668	8.7e-07	0.0001	// Niben101Scf11693g00001.1 // Niben101Scf05201g09003.1 // Niben101Scf13962g01007.1 // Niben101Scf01577g01019.1 // Niben101Scf03747g04002.1 // Niben101Scf11469g00017.1 // Niben101Scf01994g01007.1 // Niben101Scf00425g00005.1 // Niben101Scf09203g01012.1 // Niben101Scf02249g03015.1 // Niben101Scf09424g06008.1 // Niben101Scf07078g00002.1 // Niben101Scf11767g02019.1 // Niben101Scf01109g04021.1 // Niben101Scf01274g04012.1 // Niben101Scf04654g03010.1 // Niben101Scf00209g00010.1 // Niben101Scf01785g04007.1 // Niben101Scf06653g02032.1 // Niben101Scf01775g01019.1 // Niben101Scf00825g00017.1 // Niben101Scf05009g02009.1 // Niben101Scf05009g04012.1 // Niben101Scf00063g06009.1 // Niben101Scf01243g02006.1 // Niben101Scf07437g05009.1 
GO:0023052	P	signaling	29	628	91	5668	4.2e-06	0.00043	// Niben101Scf11693g00001.1 // Niben101Scf05201g09003.1 // Niben101Scf13962g01007.1 // Niben101Scf01577g01019.1 // Niben101Scf03747g04002.1 // Niben101Scf11469g00017.1 // Niben101Scf01994g01007.1 // Niben101Scf01109g04021.1 // Niben101Scf00425g00005.1 // Niben101Scf09203g01012.1 // Niben101Scf02249g03015.1 // Niben101Scf09424g06008.1 // Niben101Scf07078g00002.1 // Niben101Scf08721g01029.1 // Niben101Scf01274g04012.1 // Niben101Scf19517g00019.1 // Niben101Scf04654g03010.1 // Niben101Scf00209g00010.1 // Niben101Scf01785g04007.1 // Niben101Scf06653g02032.1 // Niben101Scf01775g01019.1 // Niben101Scf00825g00017.1 // Niben101Scf11721g00002.1 // Niben101Scf05009g02009.1 // Niben101Scf05009g04012.1 // Niben101Scf11767g02019.1 // Niben101Scf00063g06009.1 // Niben101Scf01243g02006.1 // Niben101Scf07437g05009.1 
GO:0033014	P	tetrapyrrole biosynthetic process	12	628	16	5668	5.9e-06	0.00048	// Niben101Scf10305g01003.1 // Niben101Scf03856g03009.1 // Niben101Scf09424g03005.1 // Niben101Scf09869g01021.1 // Niben101Scf00063g13014.1 // Niben101Scf15549g00002.1 // Niben101Scf00795g00009.1 // Niben101Scf01728g00004.1 // Niben101Scf07267g02006.1 // Niben101Scf04388g00011.1 // Niben101Scf03068g00024.1 // Niben101Scf10434g00020.1 
GO:0033013	P	tetrapyrrole metabolic process	12	628	16	5668	5.9e-06	0.00048	// Niben101Scf10305g01003.1 // Niben101Scf03856g03009.1 // Niben101Scf09424g03005.1 // Niben101Scf09869g01021.1 // Niben101Scf00063g13014.1 // Niben101Scf15549g00002.1 // Niben101Scf00795g00009.1 // Niben101Scf01728g00004.1 // Niben101Scf07267g02006.1 // Niben101Scf04388g00011.1 // Niben101Scf03068g00024.1 // Niben101Scf10434g00020.1 
