GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0015979	P	photosynthesis	32	199	115	24075	1.3e-36	5.3e-34	// LOC_Os01g17170 // LOC_Os07g25430 // LOC_Os03g22370 // LOC_Os12g08770 // LOC_Os03g39610 // LOC_Os06g04150 // LOC_Os01g41710 // LOC_Os03g56670 // LOC_Os01g31690 // LOC_Os07g38960 // LOC_Os04g38410 // LOC_Os08g44680 // LOC_Os08g02630 // LOC_Os02g42570 // LOC_Os08g10020 // LOC_Os07g37550 // LOC_Os12g23200 // LOC_Os06g21590 // LOC_Os11g13890 // LOC_Os07g37240 // LOC_Os07g05480 // LOC_Os09g17740 // LOC_Os01g52240 // LOC_Os03g36540 // LOC_Os07g47640 // LOC_Os02g10390 // LOC_Os08g33820 // LOC_Os09g30340 // LOC_Os05g48630 // LOC_Os07g04840 // LOC_Os02g51080 // LOC_Os07g36080 
GO:0009765	P	photosynthesis, light harvesting	12	199	16	24075	1.8e-18	3.6e-16	// LOC_Os06g21590 // LOC_Os01g41710 // LOC_Os02g10390 // LOC_Os11g13890 // LOC_Os07g38960 // LOC_Os01g52240 // LOC_Os09g17740 // LOC_Os07g37240 // LOC_Os04g38410 // LOC_Os03g39610 // LOC_Os08g33820 // LOC_Os07g37550 
GO:0019684	P	photosynthesis, light reaction	13	199	47	24075	1.9e-15	2.5e-13	// LOC_Os06g21590 // LOC_Os01g41710 // LOC_Os02g10390 // LOC_Os11g13890 // LOC_Os07g38960 // LOC_Os01g31690 // LOC_Os04g38410 // LOC_Os09g17740 // LOC_Os07g37240 // LOC_Os01g52240 // LOC_Os03g39610 // LOC_Os08g33820 // LOC_Os07g37550 
GO:0006091	P	generation of precursor metabolites and energy	16	199	243	24075	4.9e-10	4.9e-08	// LOC_Os06g21590 // LOC_Os01g41710 // LOC_Os02g10390 // LOC_Os11g13890 // LOC_Os07g38960 // LOC_Os01g31690 // LOC_Os04g38410 // LOC_Os09g17740 // LOC_Os07g37240 // LOC_Os01g52240 // LOC_Os03g39610 // LOC_Os05g41640 // LOC_Os03g52660 // LOC_Os08g33820 // LOC_Os03g52460 // LOC_Os07g37550 
GO:0033014	P	tetrapyrrole biosynthetic process	7	199	28	24075	1.2e-08	1e-06	// LOC_Os01g17170 // LOC_Os02g51080 // LOC_Os03g36540 // LOC_Os03g20700 // LOC_Os03g21900 // LOC_Os10g35840 // LOC_Os06g04150 
GO:0033013	P	tetrapyrrole metabolic process	7	199	31	24075	2.3e-08	1.5e-06	// LOC_Os01g17170 // LOC_Os02g51080 // LOC_Os03g36540 // LOC_Os03g20700 // LOC_Os03g21900 // LOC_Os10g35840 // LOC_Os06g04150 
GO:0015995	P	chlorophyll biosynthetic process	5	199	8	24075	4.3e-08	2.5e-06	// LOC_Os01g17170 // LOC_Os06g04150 // LOC_Os02g51080 // LOC_Os03g20700 // LOC_Os03g36540 
GO:0006779	P	porphyrin biosynthetic process	6	199	21	24075	7.2e-08	3.2e-06	// LOC_Os01g17170 // LOC_Os02g51080 // LOC_Os03g36540 // LOC_Os03g20700 // LOC_Os03g21900 // LOC_Os06g04150 
GO:0015994	P	chlorophyll metabolic process	5	199	9	24075	6.6e-08	3.2e-06	// LOC_Os01g17170 // LOC_Os06g04150 // LOC_Os02g51080 // LOC_Os03g20700 // LOC_Os03g36540 
GO:0006778	P	porphyrin metabolic process	6	199	24	24075	1.4e-07	5.7e-06	// LOC_Os01g17170 // LOC_Os02g51080 // LOC_Os03g36540 // LOC_Os03g20700 // LOC_Os03g21900 // LOC_Os06g04150 
