GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0015979	P	photosynthesis	51	562	178	20036	7.4e-32	7.2e-29	// Solyc12g011280.2 // Solyc02g070970.1 // Solyc10g006230.3 // Solyc11g008480.2 // Solyc03g005760.1 // Solyc02g071030.2 // Solyc08g067330.1 // Solyc06g066640.3 // Solyc05g007780.3 // Solyc05g056050.3 // Solyc02g079950.3 // Solyc01g105030.3 // Solyc01g087040.2 // Solyc06g082940.3 // Solyc02g065400.3 // Solyc12g044280.2 // Solyc02g071000.1 // Solyc03g005780.3 // Solyc01g105050.3 // Solyc02g070980.1 // Solyc08g082400.1 // Solyc06g083680.3 // Solyc02g070940.1 // Solyc07g066310.3 // Solyc02g069460.3 // Solyc07g054290.1 // Solyc07g063600.3 // Solyc12g009200.2 // Solyc06g069730.3 // Solyc08g006930.3 // Solyc03g115980.1 // Solyc09g014520.3 // Solyc03g120640.3 // Solyc07g047850.3 // Solyc02g069450.3 // Solyc10g007690.3 // Solyc06g063370.3 // Solyc05g025600.1 // Solyc02g071010.1 // Solyc07g066150.1 // Solyc02g070950.1 // Solyc06g065490.3 // Solyc10g077040.2 // Solyc12g011450.2 // Solyc06g054260.1 // Solyc03g005770.3 // Solyc02g070990.1 // Solyc08g013670.3 // Solyc12g006140.2 // Solyc07g044860.3 // Solyc09g063130.3 
GO:0009765	P	photosynthesis, light harvesting	26	562	35	20036	6.1e-25	3e-22	// Solyc12g011280.2 // Solyc02g070970.1 // Solyc02g071000.1 // Solyc03g005760.1 // Solyc02g071030.2 // Solyc08g067330.1 // Solyc05g056050.3 // Solyc01g105030.3 // Solyc07g047850.3 // Solyc10g006230.3 // Solyc03g005780.3 // Solyc01g105050.3 // Solyc02g070940.1 // Solyc07g063600.3 // Solyc12g009200.2 // Solyc06g069730.3 // Solyc06g063370.3 // Solyc09g014520.3 // Solyc10g007690.3 // Solyc02g070980.1 // Solyc02g071010.1 // Solyc12g011450.2 // Solyc02g070950.1 // Solyc03g005770.3 // Solyc02g070990.1 // Solyc12g006140.2 
GO:0019684	P	photosynthesis, light reaction	29	562	86	20036	3.3e-20	1.1e-17	// Solyc12g011280.2 // Solyc02g070970.1 // Solyc02g071000.1 // Solyc07g054290.1 // Solyc03g005760.1 // Solyc02g071030.2 // Solyc08g067330.1 // Solyc05g056050.3 // Solyc01g105030.3 // Solyc07g047850.3 // Solyc02g065400.3 // Solyc10g006230.3 // Solyc03g005780.3 // Solyc01g105050.3 // Solyc08g082400.1 // Solyc02g070940.1 // Solyc07g063600.3 // Solyc12g009200.2 // Solyc06g069730.3 // Solyc06g063370.3 // Solyc09g014520.3 // Solyc10g007690.3 // Solyc02g070980.1 // Solyc02g071010.1 // Solyc12g011450.2 // Solyc02g070950.1 // Solyc03g005770.3 // Solyc02g070990.1 // Solyc12g006140.2 
GO:0006091	P	generation of precursor metabolites and energy	36	562	246	20036	1.4e-14	3.3e-12	// Solyc12g011280.2 // Solyc02g070970.1 // Solyc02g071000.1 // Solyc07g054290.1 // Solyc03g005760.1 // Solyc02g071030.2 // Solyc08g067330.1 // Solyc10g007690.3 // Solyc12g011000.2 // Solyc05g056050.3 // Solyc01g105030.3 // Solyc07g047850.3 // Solyc02g065400.3 // Solyc10g006230.3 // Solyc03g005780.3 // Solyc01g105050.3 // Solyc08g082400.1 // Solyc02g070940.1 // Solyc07g065900.3 // Solyc01g109790.3 // Solyc07g063600.3 // Solyc12g009200.2 // Solyc06g069730.3 // Solyc06g063370.3 // Solyc09g014520.3 // Solyc10g075160.1 // Solyc02g093680.3 // Solyc02g070980.1 // Solyc01g110360.3 // Solyc02g071010.1 // Solyc12g011450.2 // Solyc02g070950.1 // Solyc03g005770.3 // Solyc02g070990.1 // Solyc07g066610.3 // Solyc12g006140.2 
GO:0050789	P	regulation of biological process	79	562	1792	20036	6.1e-05	0.012	// Solyc01g007750.3 // Solyc10g083650.1 // Solyc06g007120.3 // Solyc01g008250.3 // Solyc04g049800.3 // Solyc10g083920.2 // Solyc12g010060.2 // Solyc05g009790.1 // Solyc03g058920.3 // Solyc09g015770.3 // Solyc02g065400.3 // Solyc01g108020.3 // Solyc06g051840.1 // Solyc10g006520.3 // Solyc06g072710.3 // Solyc07g041190.3 // Solyc12g013810.2 // Solyc01g110310.3 // Solyc12g010130.1 // Solyc10g079600.2 // Solyc03g097320.3 // Solyc07g052610.3 // Solyc03g007370.3 // Solyc03g026280.3 // Solyc06g005350.3 // Solyc08g007120.3 // Solyc03g043960.3 // Solyc03g121400.1 // Solyc08g076370.3 // Solyc02g071220.3 // Solyc12g056980.1 // Solyc02g021430.1 // Solyc03g095720.3 // Solyc03g115770.3 // Solyc06g048630.3 // Solyc07g040680.3 // Solyc04g049450.3 // Solyc06g073050.2 // Solyc04g081190.3 // Solyc06g008750.1 // Solyc11g012980.1 // Solyc09g090100.3 // Solyc02g093800.3 // Solyc07g008020.3 // Solyc01g081490.3 // Solyc04g081970.3 // Solyc01g090460.3 // Solyc02g079960.3 // Solyc03g113720.3 // Solyc05g007770.3 // Solyc05g012500.3 // Solyc11g064990.2 // Solyc03g044480.3 // Solyc08g082590.3 // Solyc12g019740.2 // Solyc02g090680.3 // Solyc12g007070.2 // Solyc10g009110.1 // Solyc07g052400.3 // Solyc04g078910.3 // Solyc06g060230.3 // Solyc02g091930.3 // Solyc02g083750.1 // Solyc06g069430.3 // Solyc05g005210.3 // Solyc07g065500.2 // Solyc05g056620.2 // Solyc12g013620.2 // Solyc04g011670.3 // Solyc05g052030.1 // Solyc06g053840.3 // Solyc02g067460.3 // Solyc11g011160.1 // Solyc01g098400.3 // Solyc12g056430.1 // Solyc05g015610.3 // Solyc04g009440.3 // Solyc04g056570.3 // Solyc10g082030.2 
GO:0033014	P	tetrapyrrole biosynthetic process	7	562	32	20036	7.8e-05	0.013	// Solyc06g048730.3 // Solyc10g077040.2 // Solyc10g008740.3 // Solyc03g115980.1 // Solyc04g015750.3 // Solyc07g066470.3 // Solyc10g005110.3 
GO:0006779	P	porphyrin-containing compound biosynthetic process	6	562	23	20036	0.00011	0.016	// Solyc06g048730.3 // Solyc10g077040.2 // Solyc10g008740.3 // Solyc03g115980.1 // Solyc04g015750.3 // Solyc10g005110.3 
GO:0065007	P	biological regulation	82	562	1927	20036	0.00014	0.016	// Solyc01g007750.3 // Solyc04g080820.2 // Solyc06g007120.3 // Solyc01g008250.3 // Solyc04g049800.3 // Solyc10g083920.2 // Solyc12g010060.2 // Solyc05g009790.1 // Solyc03g058920.3 // Solyc09g015770.3 // Solyc02g065400.3 // Solyc01g108020.3 // Solyc06g051840.1 // Solyc10g006520.3 // Solyc06g072710.3 // Solyc07g041190.3 // Solyc12g013810.2 // Solyc01g110310.3 // Solyc12g010130.1 // Solyc12g099200.2 // Solyc03g097320.3 // Solyc10g079600.2 // Solyc03g007370.3 // Solyc03g026280.3 // Solyc06g005350.3 // Solyc08g007120.3 // Solyc03g043960.3 // Solyc03g121400.1 // Solyc08g076370.3 // Solyc02g071220.3 // Solyc12g056980.1 // Solyc02g021430.1 // Solyc03g095720.3 // Solyc03g115770.3 // Solyc06g048630.3 // Solyc10g083650.1 // Solyc07g040680.3 // Solyc04g049450.3 // Solyc06g073050.2 // Solyc04g081190.3 // Solyc06g008750.1 // Solyc11g012980.1 // Solyc09g090100.3 // Solyc02g093800.3 // Solyc07g008020.3 // Solyc01g081490.3 // Solyc04g081970.3 // Solyc07g052610.3 // Solyc01g090460.3 // Solyc02g079960.3 // Solyc03g113720.3 // Solyc05g007770.3 // Solyc05g012500.3 // Solyc11g064990.2 // Solyc03g044480.3 // Solyc08g082590.3 // Solyc12g019740.2 // Solyc02g090680.3 // Solyc12g007070.2 // Solyc12g008510.2 // Solyc10g009110.1 // Solyc07g052400.3 // Solyc04g078910.3 // Solyc06g060230.3 // Solyc02g091930.3 // Solyc02g083750.1 // Solyc06g069430.3 // Solyc05g005210.3 // Solyc07g065500.2 // Solyc05g056620.2 // Solyc12g013620.2 // Solyc04g011670.3 // Solyc05g052030.1 // Solyc06g053840.3 // Solyc02g067460.3 // Solyc11g011160.1 // Solyc01g098400.3 // Solyc12g056430.1 // Solyc05g015610.3 // Solyc04g009440.3 // Solyc04g056570.3 // Solyc10g082030.2 
GO:0008152	P	metabolic process	299	562	9091	20036	0.00014	0.016	// Solyc01g007750.3 // Solyc09g010210.3 // Solyc11g071600.2 // Solyc12g013620.2 // Solyc07g005510.3 // Solyc06g060310.3 // Solyc01g108020.3 // Solyc02g091560.3 // Solyc10g005120.2 // Solyc04g082630.3 // Solyc06g071290.3 // Solyc04g015340.3 // Solyc07g062130.3 // Solyc07g007550.3 // Solyc10g049970.2 // Solyc02g079950.3 // Solyc03g096050.3 // Solyc03g026280.3 // Solyc10g049630.2 // Solyc02g071740.3 // Solyc08g007120.3 // Solyc03g121400.1 // Solyc05g056620.2 // Solyc07g052290.1 // Solyc12g094520.2 // Solyc08g075890.3 // Solyc04g071890.3 // Solyc02g092680.1 // Solyc10g009570.3 // Solyc10g006400.3 // Solyc12g008910.2 // Solyc07g056670.3 // Solyc11g012980.1 // Solyc12g010840.2 // Solyc09g059970.3 // Solyc03g059250.3 // Solyc07g008020.3 // Solyc01g066520.3 // Solyc06g069470.3 // Solyc06g073090.3 // Solyc06g048730.3 // Solyc01g110450.3 // Solyc04g078910.3 // Solyc07g065500.2 // Solyc03g095510.3 // Solyc02g076690.3 // Solyc06g069730.3 // Solyc10g008740.3 // Solyc04g011670.3 // Solyc11g007990.2 // Solyc09g014520.3 // Solyc02g069450.3 // Solyc10g075160.1 // Solyc10g038190.2 // Solyc12g007070.2 // Solyc07g051850.3 // Solyc10g009110.1 // Solyc08g079280.3 // Solyc12g096760.2 // Solyc03g005100.3 // Solyc10g085200.2 // Solyc10g077040.2 // Solyc03g121910.1 // Solyc06g051200.3 // Solyc05g052030.1 // Solyc07g064620.2 // Solyc12g011450.2 // Solyc10g079130.2 // Solyc05g007780.3 // Solyc10g009390.3 // Solyc12g056430.1 // Solyc02g093680.3 // Solyc12g056530.2 // Solyc07g044860.3 // Solyc02g084920.3 // Solyc10g008020.3 // Solyc07g055300.3 // Solyc03g006870.3 // Solyc01g100670.1 // Solyc03g097210.3 // Solyc02g092410.3 // Solyc11g008480.2 // Solyc07g056020.3 // Solyc03g005760.1 // Solyc02g071030.2 // Solyc04g071120.3 // Solyc01g009870.3 // Solyc06g061070.3 // Solyc05g046340.2 // Solyc12g010130.1 // Solyc01g105960.2 // Solyc01g005560.3 // Solyc12g095910.2 // Solyc03g007370.3 // Solyc09g092390.2 // Solyc05g013380.3 // Solyc01g105030.3 // Solyc04g009030.3 // Solyc02g065400.3 // Solyc09g075860.3 // Solyc12g098600.1 // Solyc01g087810.2 // Solyc02g069230.3 // Solyc06g048630.3 // Solyc11g012850.2 // Solyc12g014010.2 // Solyc09g011810.3 // Solyc12g042470.2 // Solyc12g008510.2 // Solyc06g054550.3 // Solyc03g123880.3 // Solyc10g006900.3 // Solyc11g011970.2 // Solyc12g013710.2 // Solyc03g112150.1 // Solyc01g090460.3 // Solyc02g079960.3 // Solyc04g081190.3 // Solyc12g009200.2 // Solyc05g005210.3 // Solyc01g056780.3 // Solyc04g058110.3 // Solyc05g015610.3 // Solyc03g120640.3 // Solyc07g047850.3 // Solyc05g052590.1 // Solyc10g047930.2 // Solyc01g110360.3 // Solyc01g110310.3 // Solyc06g063370.3 // Solyc11g010120.2 // Solyc02g062740.3 // Solyc10g005110.3 // Solyc07g066150.1 // Solyc01g096350.3 // Solyc12g044600.3 // Solyc05g009790.1 // Solyc06g053840.3 // Solyc01g111510.3 // Solyc02g083220.2 // Solyc04g015750.3 // Solyc02g084030.3 // Solyc07g062870.3 // Solyc09g063130.3 // Solyc11g006590.2 // Solyc05g053530.1 // Solyc06g036260.3 // Solyc06g007120.3 // Solyc03g007070.3 // Solyc01g008250.3 // Solyc02g070970.1 // Solyc01g109940.3 // Solyc02g021430.1 // Solyc07g054290.1 // Solyc09g012000.1 // Solyc06g054540.3 // Solyc06g051840.1 // Solyc01g080020.2 // Solyc05g005180.3 // Solyc06g066640.3 // Solyc12g013810.2 // Solyc08g013670.3 // Solyc03g097320.3 // Solyc08g078460.3 // Solyc10g086220.2 // Solyc01g081490.3 // Solyc02g071380.2 // Solyc10g080390.2 // Solyc10g007110.3 // Solyc02g081330.4 // Solyc12g088760.1 // Solyc06g082940.3 // Solyc12g040790.2 // Solyc01g010050.3 // Solyc06g051400.3 // Solyc02g086740.1 // Solyc02g084930.3 // Solyc04g080820.2 // Solyc02g071000.1 // Solyc03g005780.3 // Solyc04g074350.3 // Solyc02g092250.3 // Solyc12g005060.1 // Solyc07g040680.3 // Solyc12g089210.2 // Solyc02g070980.1 // Solyc02g072150.3 // Solyc08g082400.1 // Solyc01g105050.3 // Solyc05g051660.1 // Solyc07g065900.3 // Solyc05g012500.3 // Solyc01g109790.3 // Solyc04g078700.3 // Solyc02g069460.3 // Solyc02g070950.1 // Solyc04g007710.3 // Solyc02g083980.3 // Solyc12g056580.2 // Solyc04g081970.3 // Solyc05g007770.3 // Solyc01g067360.3 // Solyc02g083750.1 // Solyc02g077000.3 // Solyc02g077110.3 // Solyc12g098350.1 // Solyc11g009020.2 // Solyc07g054210.3 // Solyc10g007690.3 // Solyc01g087040.2 // Solyc02g086710.3 // Solyc02g070940.1 // Solyc02g087190.1 // Solyc07g006780.3 // Solyc02g092260.3 // Solyc03g114160.1 // Solyc02g071010.1 // Solyc01g007120.3 // Solyc09g075710.1 // Solyc06g066760.3 // Solyc06g054260.1 // Solyc11g011160.1 // Solyc02g070990.1 // Solyc07g066610.3 // Solyc12g006140.2 // Solyc07g063600.3 // Solyc01g108280.3 // Solyc07g043050.1 // Solyc12g011280.2 // Solyc02g080540.1 // Solyc04g049800.3 // Solyc01g094570.3 // Solyc12g010060.2 // Solyc09g083130.3 // Solyc12g088670.2 // Solyc06g069430.3 // Solyc08g067330.1 // Solyc10g074930.1 // Solyc03g033340.3 // Solyc07g006890.1 // Solyc06g072710.3 // Solyc07g041190.3 // Solyc12g009920.1 // Solyc02g084990.3 // Solyc06g072380.3 // Solyc03g119860.3 // Solyc05g056050.3 // Solyc03g118410.3 // Solyc08g076220.3 // Solyc05g009570.3 // Solyc02g090920.2 // Solyc06g081980.1 // Solyc08g076370.3 // Solyc12g044280.2 // Solyc01g107820.2 // Solyc12g056980.1 // Solyc10g006230.3 // Solyc08g062190.3 // Solyc03g095720.3 // Solyc12g056830.1 // Solyc06g073050.2 // Solyc02g091990.3 // Solyc01g067660.3 // Solyc06g083680.3 // Solyc05g054860.1 // Solyc01g094790.3 // Solyc10g082030.2 // Solyc09g015770.3 // Solyc03g115820.3 // Solyc08g078270.3 // Solyc04g082250.3 // Solyc04g009630.3 // Solyc07g052610.3 // Solyc08g006930.3 // Solyc03g115980.1 // Solyc07g066470.3 // Solyc09g075920.1 // Solyc02g084980.3 // Solyc11g064990.2 // Solyc12g055840.2 // Solyc05g025600.1 // Solyc04g025650.3 // Solyc06g060230.3 // Solyc02g091930.3 // Solyc02g082760.3 // Solyc06g065490.3 // Solyc02g090490.3 // Solyc03g121260.3 // Solyc08g078010.3 // Solyc02g079740.1 // Solyc03g123370.3 // Solyc04g071140.3 // Solyc02g089630.3 // Solyc03g005770.3 // Solyc07g066310.3 // Solyc06g065560.2 // Solyc10g009240.3 // Solyc04g009440.3 // Solyc12g011000.2 
GO:0050794	P	regulation of cellular process	75	562	1732	20036	0.00016	0.016	// Solyc01g007750.3 // Solyc10g083650.1 // Solyc06g007120.3 // Solyc01g008250.3 // Solyc04g049800.3 // Solyc10g083920.2 // Solyc12g010060.2 // Solyc05g009790.1 // Solyc09g015770.3 // Solyc02g065400.3 // Solyc01g108020.3 // Solyc06g051840.1 // Solyc10g006520.3 // Solyc06g072710.3 // Solyc07g041190.3 // Solyc12g013810.2 // Solyc01g110310.3 // Solyc12g010130.1 // Solyc10g079600.2 // Solyc03g097320.3 // Solyc07g052610.3 // Solyc03g007370.3 // Solyc03g026280.3 // Solyc06g005350.3 // Solyc03g043960.3 // Solyc03g121400.1 // Solyc08g076370.3 // Solyc12g056980.1 // Solyc02g021430.1 // Solyc03g095720.3 // Solyc03g115770.3 // Solyc06g048630.3 // Solyc07g040680.3 // Solyc04g049450.3 // Solyc06g073050.2 // Solyc04g081190.3 // Solyc06g008750.1 // Solyc11g012980.1 // Solyc09g090100.3 // Solyc02g093800.3 // Solyc07g008020.3 // Solyc01g081490.3 // Solyc04g081970.3 // Solyc01g090460.3 // Solyc02g079960.3 // Solyc03g113720.3 // Solyc05g007770.3 // Solyc05g012500.3 // Solyc11g064990.2 // Solyc03g044480.3 // Solyc08g082590.3 // Solyc12g019740.2 // Solyc02g090680.3 // Solyc12g007070.2 // Solyc10g009110.1 // Solyc07g052400.3 // Solyc04g078910.3 // Solyc06g060230.3 // Solyc02g091930.3 // Solyc02g083750.1 // Solyc06g069430.3 // Solyc02g071220.3 // Solyc07g065500.2 // Solyc05g056620.2 // Solyc12g013620.2 // Solyc04g011670.3 // Solyc05g052030.1 // Solyc06g053840.3 // Solyc11g011160.1 // Solyc01g098400.3 // Solyc12g056430.1 // Solyc05g015610.3 // Solyc04g009440.3 // Solyc04g056570.3 // Solyc10g082030.2 
