GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0015979	P	photosynthesis	42	915	247	30113	1.5e-17	4.6e-14	// Zm00001d021763 // Zm00001d008706 // Zm00001d021703 // Zm00001d022464 // Zm00001d008230 // Zm00001d020877 // Zm00001d034904 // Zm00001d006540 // Zm00001d001820 // Zm00001d013937 // Zm00001d032197 // Zm00001d021906 // Zm00001d046786 // Zm00001d005446 // Zm00001d009929 // Zm00001d049387 // Zm00001d036535 // Zm00001d009589 // Zm00001d050403 // Zm00001d035135 // Zm00001d018797 // Zm00001d026599 // Zm00001d007267 // Zm00001d013146 // Zm00001d019518 // Zm00001d038984 // Zm00001d019454 // Zm00001d040463 // Zm00001d005996 // Zm00001d039040 // Zm00001d003429 // Zm00001d049650 // Zm00001d034543 // Zm00001d001857 // Zm00001d043299 // Zm00001d015385 // Zm00001d048998 // Zm00001d006663 // Zm00001d021784 // Zm00001d000260 // Zm00001d018779 // Zm00001d021435 
GO:0009768	P	photosynthesis, light harvesting in photosystem I	15	915	31	30113	2.2e-12	3.4e-09	// Zm00001d050403 // Zm00001d021763 // Zm00001d046786 // Zm00001d001857 // Zm00001d007267 // Zm00001d015385 // Zm00001d006663 // Zm00001d048998 // Zm00001d021784 // Zm00001d032197 // Zm00001d026599 // Zm00001d021906 // Zm00001d009589 // Zm00001d039040 // Zm00001d021435 
GO:0009765	P	photosynthesis, light harvesting	16	915	43	30113	9.6e-12	1e-08	// Zm00001d050403 // Zm00001d021763 // Zm00001d046786 // Zm00001d001857 // Zm00001d007267 // Zm00001d015385 // Zm00001d009929 // Zm00001d048998 // Zm00001d021784 // Zm00001d032197 // Zm00001d026599 // Zm00001d021906 // Zm00001d006663 // Zm00001d009589 // Zm00001d039040 // Zm00001d021435 
GO:0019684	P	photosynthesis, light reaction	24	915	126	30113	1.6e-11	1.2e-08	// Zm00001d021763 // Zm00001d021703 // Zm00001d034904 // Zm00001d006540 // Zm00001d006663 // Zm00001d032197 // Zm00001d021906 // Zm00001d046786 // Zm00001d009929 // Zm00001d049387 // Zm00001d036535 // Zm00001d009589 // Zm00001d050403 // Zm00001d026599 // Zm00001d007267 // Zm00001d019454 // Zm00001d039040 // Zm00001d043299 // Zm00001d001857 // Zm00001d015385 // Zm00001d048998 // Zm00001d021784 // Zm00001d000260 // Zm00001d021435 
GO:0018298	P	protein-chromophore linkage	16	915	51	30113	7.9e-11	4.9e-08	// Zm00001d050403 // Zm00001d021763 // Zm00001d046786 // Zm00001d001857 // Zm00001d007267 // Zm00001d015385 // Zm00001d006663 // Zm00001d048998 // Zm00001d021784 // Zm00001d032197 // Zm00001d026599 // Zm00001d021906 // Zm00001d000260 // Zm00001d009589 // Zm00001d039040 // Zm00001d021435 
GO:0006091	P	generation of precursor metabolites and energy	42	915	666	30113	1.7e-05	0.009	// Zm00001d021763 // Zm00001d038775 // Zm00001d021703 // Zm00001d039011 // Zm00001d002434 // Zm00001d034904 // Zm00001d006540 // Zm00001d006663 // Zm00001d042842 // Zm00001d049049 // Zm00001d021906 // Zm00001d002436 // Zm00001d046786 // Zm00001d045620 // Zm00001d009929 // Zm00001d014807 // Zm00001d049387 // Zm00001d032197 // Zm00001d036535 // Zm00001d019726 // Zm00001d009589 // Zm00001d050403 // Zm00001d038529 // Zm00001d010796 // Zm00001d021958 // Zm00001d026599 // Zm00001d007267 // Zm00001d043232 // Zm00001d034388 // Zm00001d019454 // Zm00001d039040 // Zm00001d018454 // Zm00001d032669 // Zm00001d043299 // Zm00001d001857 // Zm00001d015385 // Zm00001d048998 // Zm00001d021784 // Zm00001d015856 // Zm00001d049409 // Zm00001d000260 // Zm00001d021435 
GO:0009416	P	response to light stimulus	25	915	307	30113	2.1e-05	0.0092	// Zm00001d021763 // Zm00001d051309 // Zm00001d005051 // Zm00001d032197 // Zm00001d021906 // Zm00001d046786 // Zm00001d006663 // Zm00001d026599 // Zm00001d009589 // Zm00001d050403 // Zm00001d023314 // Zm00001d054044 // Zm00001d008226 // Zm00001d016926 // Zm00001d007267 // Zm00001d027488 // Zm00001d039040 // Zm00001d003429 // Zm00001d001857 // Zm00001d015385 // Zm00001d048998 // Zm00001d028432 // Zm00001d021784 // Zm00001d018796 // Zm00001d021435 
GO:0009314	P	response to radiation	25	915	329	30113	6e-05	0.023	// Zm00001d021763 // Zm00001d051309 // Zm00001d005051 // Zm00001d032197 // Zm00001d021906 // Zm00001d046786 // Zm00001d006663 // Zm00001d026599 // Zm00001d009589 // Zm00001d050403 // Zm00001d023314 // Zm00001d054044 // Zm00001d008226 // Zm00001d016926 // Zm00001d007267 // Zm00001d027488 // Zm00001d039040 // Zm00001d003429 // Zm00001d001857 // Zm00001d015385 // Zm00001d048998 // Zm00001d028432 // Zm00001d021784 // Zm00001d018796 // Zm00001d021435 
GO:0015994	P	chlorophyll metabolic process	7	915	31	30113	0.00011	0.037	// Zm00001d001820 // Zm00001d027656 // Zm00001d008230 // Zm00001d026603 // Zm00001d039312 // Zm00001d040463 // Zm00001d013937 
GO:1901575	P	organic substance catabolic process	84	915	1859	30113	0.0003	0.092	// Zm00001d029164 // Zm00001d020346 // Zm00001d045695 // Zm00001d017867 // Zm00001d042152 // Zm00001d038775 // Zm00001d053212 // Zm00001d027656 // Zm00001d009510 // Zm00001d012321 // Zm00001d043907 // Zm00001d052200 // Zm00001d044495 // Zm00001d027619 // Zm00001d042884 // Zm00001d052189 // Zm00001d012618 // Zm00001d008892 // Zm00001d042512 // Zm00001d042842 // Zm00001d045051 // Zm00001d049049 // Zm00001d003190 // Zm00001d052444 // Zm00001d029996 // Zm00001d042905 // Zm00001d051814 // Zm00001d015356 // Zm00001d003434 // Zm00001d025753 // Zm00001d017152 // Zm00001d018487 // Zm00001d038151 // Zm00001d027309 // Zm00001d017279 // Zm00001d045050 // Zm00001d008977 // Zm00001d042066 // Zm00001d043864 // Zm00001d002824 // Zm00001d043274 // Zm00001d022594 // Zm00001d038528 // Zm00001d045470 // Zm00001d010796 // Zm00001d034591 // Zm00001d017766 // Zm00001d029151 // Zm00001d034015 // Zm00001d045125 // Zm00001d008909 // Zm00001d026553 // Zm00001d048683 // Zm00001d022597 // Zm00001d026635 // Zm00001d029684 // Zm00001d047480 // Zm00001d037790 // Zm00001d027841 // Zm00001d003015 // Zm00001d017966 // Zm00001d029397 // Zm00001d036370 // Zm00001d036717 // Zm00001d048690 // Zm00001d012687 // Zm00001d010635 // Zm00001d015328 // Zm00001d025461 // Zm00001d033363 // Zm00001d038969 // Zm00001d038841 // Zm00001d033300 // Zm00001d011994 // Zm00001d039312 // Zm00001d033321 // Zm00001d032806 // Zm00001d053642 // Zm00001d002085 // Zm00001d018064 // Zm00001d022236 // Zm00001d005502 // Zm00001d029823 // Zm00001d034723 
