ABI3VP1_AT5G60130	ABI3VP1_FUS3	ABI3VP1_VRN1	AP2EREBP_ABR1	AP2EREBP_AT1G01250	AP2EREBP_AT1G12630	AP2EREBP_At1g19210	AP2EREBP_At1g22810	AP2EREBP_At1g36060	AP2EREBP_AT1G71450	AP2EREBP_AT1G77200	AP2EREBP_At2g33710	AP2EREBP_At4g16750	AP2EREBP_AT4G18450	AP2EREBP_At4g31060	AP2EREBP_At4g32800	AP2EREBP_At5g65130	AP2EREBP_CBF1	AP2EREBP_CBF2	AP2EREBP_CBF3	AP2EREBP_CBF4	AP2EREBP_CEJ1	AP2EREBP_CRF10	AP2EREBP_DDF1	AP2EREBP_DDF2	AP2EREBP_DEAR2	AP2EREBP_DEAR3	AP2EREBP_DEAR5	AP2EREBP_DREB19	AP2EREBP_ERF105	AP2EREBP_ERF10	AP2EREBP_ERF115	AP2EREBP_ERF11	AP2EREBP_ERF15	AP2EREBP_ERF38	AP2EREBP_ERF3	AP2EREBP_ERF4	AP2EREBP_ERF7	AP2EREBP_ERF8	AP2EREBP_ESE1	AP2EREBP_ESE3	AP2EREBP_Rap210	AP2EREBP_RAP211	AP2EREBP_RAP212	AP2EREBP_RAP21	AP2EREBP_RAP26	AP2EREBP_RRTF1	AP2EREBP_TINY	ARF_ARF2	ARF_ecoli_MP	ARID_AT1G20910	BBRBPC_BPC1	BES1_BAM8	bHLH_bHLH10	bHLH_bHLH122	bHLH_bHLH28	bHLH_bHLH31	bHLH_bHLH80	bHLH_BIM1	bHLH_BIM2	bZIP_ABF2	bZIP_ABI5	bZIP_AREB3	bZIP_bZIP16	bZIP_bZIP18	bZIP_bZIP28	bZIP_bZIP3	bZIP_bZIP44	bZIP_bZIP48	bZIP_bZIP50	bZIP_bZIP52	bZIP_bZIP53	bZIP_bZIP68	bZIP_GBF3	bZIP_GBF5	bZIP_GBF6	bZIP_TGA10	bZIP_TGA1	bZIP_TGA2	bZIP_TGA3	bZIP_TGA4	bZIP_TGA5	bZIP_TGA6	bZIP_TGA9	bZIP_VIP1	BZR_At1g78700	BZR_At4g18890	BZR_At4g36780	BZR_BZR1	C2C2dof_Adof1	C2C2dof_At1g64620	C2C2dof_AT1G69570	C2C2dof_AT2G28810	C2C2dof_At3g45610	C2C2dof_AT3G52440	C2C2dof_At4g38000	C2C2dof_AT5G02460	C2C2dof_At5g62940	C2C2dof_AT5G66940	C2C2dof_CDF3	C2C2dof_COG1	C2C2dof_DAG2	C2C2dof_dof24	C2C2dof_dof45	C2C2dof_OBP1	C2C2dof_OBP3	C2C2dof_OBP4	C2C2gata_GATA11	C2C2gata_GATA4	C2C2YABBY_CRC	C2H2_AT2G15740	C2H2_At3g60580	C2H2_AT4G26030	C2H2_At5g04390	C2H2_AT5G22990	C2H2_At5g66730	C2H2_IDD4	C2H2_IDD7	C2H2_JKD	C2H2_SGR5	C2H2_STZ	C3H_AT5G63260	CAMTA_CAMTA1	CAMTA_CAMTA5	CPP_TCX2	E2FDP_DEL2	E2FDP_E2FA	EIL_EIN3	G2like_At1g25550	G2like_AT1G49560	G2like_At1g68670	G2like_At2g01060	G2like_At2g03500	G2like_AT2G40260	G2like_At3g04030	G2like_At3g24120	G2like_AT4G37180	G2like_At5g29000	G2like_AT5G45580	GeBP_AT4G00250	GRF_AtGRF6	HB_ANL2	HB_ATHB15	HB_ATHB21	HB_ATHB40	HB_ATHB53	HB_ATHB5	HB_LMI1	HB_PHV	Homeobox_ATHB13	Homeobox_ATHB6	Homeobox_ATHB7	Homeobox_HDG1	Homeobox_PDF2	HSF_HSF3	HSF_HSFA6B	HSF_HSFC1	LOBAS2_LBD18	LOBAS2_LBD19	LOBAS2_LBD2	MADS_AGL63	MADS_SVP	mTERF_AT5G23930	MYB_ATY13	MYB_BOS1	MYB_MS188	MYB_MYB107	MYB_MYB119	MYB_MYB121	MYB_MYB27	MYB_MYB33	MYB_MYB3R1	MYB_MYB3R4	MYB_MYB3R5	MYB_MYB44	MYB_MYB49	MYB_MYB57	MYB_MYB61	MYB_MYB63	MYB_MYB65	MYB_MYB67	MYB_MYB70	MYB_MYB73	MYB_MYB77	MYB_MYB88	MYB_MYB93	MYB_MYB96	MYB_MYB98	MYBrelated_At1g19000	MYBrelated_At1g49010	MYBrelated_AT1G72740	MYBrelated_At1g74840	MYBrelated_At3g09600	MYBrelated_AT3G10113	MYBrelated_At3g11280	MYBrelated_At4g01280	MYBrelated_At5g05790	MYBrelated_At5g08520	MYBrelated_At5g47390	MYBrelated_At5g52660	MYBrelated_AT5G56840	MYBrelated_AT5G61620	MYBrelated_EPR1	MYBrelated_LCL1	MYBrelated_LHY1	MYBrelated_RVE1	MYBrelated_TBP3	NAC_ANAC004	NAC_ANAC005	NAC_ANAC013	NAC_ANAC016	NAC_ANAC017	NAC_ANAC020	NAC_ANAC028	NAC_ANAC034	NAC_ANAC038	NAC_ANAC042	NAC_ANAC045	NAC_ANAC046	NAC_ANAC047	NAC_ANAC050	NAC_ANAC053	NAC_ANAC055	NAC_ANAC057	NAC_ANAC058	NAC_ANAC062	NAC_ANAC070	NAC_ANAC071	NAC_ANAC075	NAC_ANAC079	NAC_ANAC083	NAC_ANAC087	NAC_ANAC092	NAC_ANAC094	NAC_ANAC096	NAC_ANAC103	NAC_ATAF1	NAC_CUC1	NAC_CUC2	NAC_CUC3	NAC_NAC2	NAC_NAM	NAC_NAP	NAC_NST1	NAC_NTL8	NAC_NTM1	NAC_NTM2	NAC_SMB	NAC_SND2	NAC_SND3	NAC_VND1	NAC_VND2	NAC_VND3	NAC_VND4	NAC_VND6	ND_FRS9	Orphan_AT1G24250	Orphan_BBX31	RAV_RAV1	REM_REM19	RWPRK_NLP7	S1Falike_AT3G09735	SBP_SPL14	SBP_SPL1	SBP_SPL5	SBP_SPL9	TCP_At1g69690	TCP_At1g72010	TCP_At2g45680	TCP_At5g08330	TCP_TCP20	TCP_TCP24	TCP_TCP3	TCP_TCP7	Trihelix_At3g14180	Trihelix_AT5G05550	Trihelix_GT3a	Trihelix_GTL1	WRKY_WRKY14	WRKY_WRKY15	WRKY_WRKY18	WRKY_WRKY20	WRKY_WRKY21	WRKY_WRKY22	WRKY_WRKY24	WRKY_WRKY25	WRKY_WRKY27	WRKY_WRKY28	WRKY_WRKY29	WRKY_WRKY33	WRKY_WRKY3	WRKY_WRKY40	WRKY_WRKY45	WRKY_WRKY50	WRKY_WRKY55	WRKY_WRKY65	WRKY_WRKY70	WRKY_WRKY71	WRKY_WRKY75	WRKY_WRKY7	WRKY_WRKY8	zfGRF_AT3G42860	ZFHD_ATHB23	ZFHD_ATHB24	ZFHD_ATHB25	ZFHD_AtHB32	ZFHD_ATHB33	ZFHD_ATHB34	deg	glk1_signal	glk2_signal	fpkm
AT3G48140	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	52.3906	44.0843	2154.4
AT5G58070	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10.9041	10.4175	435.072
AT1G25440	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	9.13781	7.43228	150.916
AT3G59400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8.58811	6.95557	47.6962
AT3G50770	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45.507	27.7198	3356.75
AT2G34420	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6.14836	4.99798	71.7819
AT2G20670	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	79.2808	46.1231	3006.05
AT5G39530	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30.516	16.9015	5382.94
AT1G74670	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12.7314	15.0163	698.865
AT4G09010	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13.17	7.15412	336.558
